season,game_type,week,opponent,team,points_favored,over_odds,under_odds,roof,surface,temp,wind,referee,win,team_win_pct,team_net_points,team_sov,team_sos,opponent_win_pct,opponent_net_points,opponent_sov,opponent_sos
2002,WC,18,IND,NYJ,6.0,,,outdoors,grass,35.0,10.0,Tony Corrente,True,0.5625,23,0.5,0.5,0.625,36,0.4,0.476562
2002,WC,18,ATL,GB,6.5,,,outdoors,grass,31.0,5.0,Bernie Kukar,False,0.75,70,0.411458,0.449219,0.59375,88,0.416667,0.492188
2002,WC,18,CLE,PIT,8.0,,,outdoors,grass,27.0,5.0,Bill Carollo,True,0.65625,45,0.44375,0.484375,0.5625,24,0.409722,0.480469
2002,WC,18,NYG,SF,3.0,,,outdoors,grass,53.0,5.0,Ron Winter,True,0.625,16,0.45,0.503906,0.625,41,0.45,0.480469
2002,DIV,19,PIT,TEN,4.5,,,outdoors,grass,34.0,9.0,Ron Blum,True,0.6875,43,0.471591,0.476562,0.65625,45,0.44375,0.484375
2002,DIV,19,ATL,PHI,7.5,,,outdoors,fieldturf,29.0,10.0,Mike Carey,True,0.75,174,0.432292,0.46875,0.59375,88,0.416667,0.492188
2002,DIV,19,SF,TB,6.0,,,outdoors,grass,54.0,10.0,Gerry Austin,True,0.75,150,0.427083,0.476562,0.625,16,0.45,0.503906
2002,DIV,19,NYJ,OAK,5.5,,,outdoors,grass,61.0,13.0,Dick Hantak,True,0.6875,146,0.528409,0.527344,0.5625,23,0.5,0.5
2002,CON,20,TB,PHI,4.0,,,outdoors,fieldturf,26.0,14.0,Terry McAulay,False,0.75,174,0.432292,0.46875,0.75,150,0.427083,0.476562
2002,CON,20,TEN,OAK,9.0,,,outdoors,grass,52.0,9.0,Ed Hochuli,True,0.6875,146,0.528409,0.527344,0.6875,43,0.471591,0.476562
2002,SB,21,OAK,TB,-3.5,,,outdoors,grass,81.0,0.0,Bill Carollo,True,0.75,150,0.427083,0.476562,0.6875,146,0.528409,0.527344
2003,WC,18,TEN,BAL,-1.0,,,outdoors,sportturf,63.0,9.0,Jeff Triplette,False,0.625,110,0.4,0.457031,0.75,111,0.401042,0.472656
2003,WC,18,DAL,CAR,3.0,,,outdoors,grass,63.0,9.0,Walt Coleman,True,0.6875,21,0.397727,0.445312,0.625,29,0.3875,0.460938
2003,WC,18,SEA,GB,7.5,,,outdoors,grass,20.0,14.0,Bernie Kukar,True,0.625,135,0.4375,0.488281,0.625,77,0.40625,0.464844
2003,WC,18,DEN,IND,3.0,,,dome,astroturf,,,Johnny Grier,True,0.75,111,0.447917,0.492188,0.625,80,0.40625,0.5
2003,DIV,19,CAR,STL,7.0,,,dome,astroturf,,,Mike Carey,False,0.75,119,0.442708,0.433594,0.6875,21,0.397727,0.445312
2003,DIV,19,TEN,NE,6.0,,,outdoors,grass,4.0,10.0,Bill Carollo,True,0.875,110,0.504464,0.484375,0.75,111,0.401042,0.472656
2003,DIV,19,IND,KC,3.0,,,outdoors,grass,51.0,13.0,Gerald Austin,False,0.8125,152,0.384615,0.417969,0.75,111,0.447917,0.492188
2003,DIV,19,GB,PHI,4.0,,,outdoors,grass,25.0,13.0,Ed Hochuli,True,0.75,87,0.4375,0.476562,0.625,135,0.4375,0.488281
2003,CON,20,IND,NE,3.5,,,outdoors,grass,32.0,2.0,Walt Coleman,True,0.875,110,0.504464,0.484375,0.75,111,0.447917,0.492188
2003,CON,20,CAR,PHI,4.0,,,outdoors,grass,33.0,19.0,Bernie Kukar,False,0.75,87,0.4375,0.476562,0.6875,21,0.397727,0.445312
2003,SB,21,CAR,NE,7.0,,,closed,grass,,,Ed Hochuli,True,0.875,110,0.504464,0.484375,0.6875,21,0.397727,0.445312
2004,WC,18,STL,SEA,4.0,,,outdoors,fieldturf,45.0,9.0,Walt Coleman,False,0.5625,-2,0.368056,0.445312,0.5,-73,0.4375,0.488281
2004,WC,18,NYJ,SD,6.5,,,outdoors,grass,55.0,8.0,Ed Hochuli,False,0.75,133,0.411458,0.476562,0.625,72,0.40625,0.523438
2004,WC,18,DEN,IND,10.0,,,dome,astroturf,,,Mike Carey,True,0.75,171,0.458333,0.5,0.625,77,0.45,0.484375
2004,WC,18,MIN,GB,6.0,,,outdoors,grass,26.0,4.0,Walt Anderson,False,0.625,44,0.41875,0.457031,0.5,10,0.40625,0.480469
2004,DIV,19,NYJ,PIT,9.0,,,outdoors,dessograss,28.0,5.0,Billy Leavy,True,0.9375,121,0.479167,0.484375,0.625,72,0.40625,0.523438
2004,DIV,19,STL,ATL,6.5,,,dome,fieldturf,,,Terry McAulay,True,0.6875,3,0.431818,0.433594,0.5,-73,0.4375,0.488281
2004,DIV,19,MIN,PHI,8.0,,,outdoors,grass,31.0,16.0,Peter Morelli,True,0.8125,126,0.408654,0.453125,0.5,10,0.40625,0.480469
2004,DIV,19,IND,NE,1.0,,,outdoors,grass,25.0,7.0,Bill Carollo,True,0.875,177,0.477679,0.492188,0.75,171,0.458333,0.5
2004,CON,20,ATL,PHI,6.0,,,outdoors,grass,17.0,26.0,Bill Carollo,True,0.8125,126,0.408654,0.453125,0.6875,3,0.431818,0.433594
2004,CON,20,NE,PIT,-3.0,,,outdoors,dessograss,11.0,9.0,Walt Anderson,False,0.9375,121,0.479167,0.484375,0.875,177,0.477679,0.492188
2004,SB,21,NE,PHI,-7.0,,,outdoors,grass,59.0,12.0,Terry McAulay,False,0.8125,126,0.408654,0.453125,0.875,177,0.477679,0.492188
2005,WC,18,WAS,TB,2.5,,,outdoors,grass,52.0,12.0,Mike Carey,False,0.6875,26,0.426136,0.449219,0.625,66,0.5,0.539062
2005,WC,18,JAX,NE,8.0,,,outdoors,grass,24.0,0.0,Walt Anderson,True,0.625,41,0.4,0.507812,0.75,92,0.375,0.464844
2005,WC,18,CAR,NYG,3.0,,,outdoors,fieldturf,44.0,6.0,Bill Leavy,False,0.6875,108,0.431818,0.492188,0.6875,132,0.409091,0.449219
2005,WC,18,PIT,CIN,-3.0,,,outdoors,fieldturf,61.0,22.0,Larry Nemmers,False,0.6875,71,0.397727,0.476562,0.6875,131,0.414773,0.492188
